Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,home_clean,team_clean,intFormedYear,intStadiumCapacity,strLeague,anios_historia,total_goles_partido,diferencia_goles,resultado_target,cluster_kmeans
18/02/2023,Osasuna,Real Madrid,0,2,A,11,11,4,6,5,5,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
19/02/2023,Elche,Espanol,0,1,A,19,11,5,4,10,5,elche,elche,1923.0,36017.0,Spanish La Liga,103.0,1,-1,Derrota_Local,0
19/02/2023,Vallecano,Sevilla,1,1,D,18,7,5,2,7,3,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
19/02/2023,Ath Madrid,Ath Bilbao,1,0,H,17,8,5,2,6,5,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
19/02/2023,Barcelona,Cadiz,2,0,H,16,14,5,4,5,6,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,2,2,Victoria_Local,1
20/02/2023,Getafe,Valencia,1,0,H,15,8,6,3,4,5,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,1,1,Victoria_Local,0
24/02/2023,Elche,Betis,2,3,A,4,21,2,9,3,3,elche,elche,1923.0,36017.0,Spanish La Liga,103.0,5,-1,Derrota_Local,2
25/02/2023,Espanol,Mallorca,2,1,H,9,15,3,4,0,4,espanol,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
25/02/2023,Cadiz,Vallecano,1,0,H,5,11,3,2,4,6,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
25/02/2023,Real Madrid,Ath Madrid,1,1,D,18,7,7,2,7,4,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,2,0,Empate,1
25/02/2023,Valencia,Sociedad,1,0,H,8,11,3,3,7,8,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
26/02/2023,Ath Bilbao,Girona,2,3,A,17,8,3,4,11,3,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,5,-1,Derrota_Local,2
26/02/2023,Celta,Valladolid,3,0,H,18,6,4,3,5,4,celta,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
26/02/2023,Almeria,Barcelona,1,0,H,7,14,4,1,4,7,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
26/02/2023,Sevilla,Osasuna,2,3,A,22,11,8,4,10,2,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,5,-1,Derrota_Local,2
27/02/2023,Villarreal,Getafe,2,1,H,11,8,5,3,6,6,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
03/03/2023,Sociedad,Cadiz,0,0,D,15,6,3,2,4,0,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
04/03/2023,Getafe,Girona,3,2,H,10,9,6,7,3,3,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,5,1,Victoria_Local,2
04/03/2023,Almeria,Villarreal,0,2,A,6,16,0,6,2,10,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
04/03/2023,Mallorca,Elche,0,1,A,14,15,3,6,6,7,mallorca,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
04/03/2023,Ath Madrid,Sevilla,6,1,H,18,8,8,1,7,3,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,7,5,Victoria_Local,1
05/03/2023,Valladolid,Espanol,2,1,H,15,12,5,2,9,6,valladolid,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
05/03/2023,Barcelona,Valencia,1,0,H,13,13,4,1,5,2,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,1,1,Victoria_Local,1
05/03/2023,Vallecano,Ath Bilbao,0,0,D,18,16,2,3,7,9,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
05/03/2023,Betis,Real Madrid,0,0,D,8,15,4,5,5,3,betis,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
06/03/2023,Osasuna,Celta,0,0,D,10,6,5,0,6,4,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
10/03/2023,Cadiz,Getafe,2,2,D,11,16,4,10,2,6,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,4,0,Empate,2
11/03/2023,Real Madrid,Espanol,3,1,H,22,10,7,3,7,4,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,4,2,Victoria_Local,1
11/03/2023,Elche,Valladolid,1,1,D,24,5,10,1,10,3,elche,elche,1923.0,36017.0,Spanish La Liga,103.0,2,0,Empate,0
11/03/2023,Celta,Vallecano,3,0,H,15,12,6,3,3,7,celta,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
11/03/2023,Valencia,Osasuna,1,0,H,8,7,4,0,12,3,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
12/03/2023,Mallorca,Sociedad,1,1,D,8,8,2,2,3,2,mallorca,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
12/03/2023,Sevilla,Almeria,2,1,H,27,13,5,5,6,4,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
12/03/2023,Villarreal,Betis,1,1,D,15,6,4,3,2,4,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
12/03/2023,Ath Bilbao,Barcelona,0,1,A,15,10,5,2,5,3,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
13/03/2023,Girona,Ath Madrid,0,1,A,6,14,4,4,1,3,girona,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
17/03/2023,Valladolid,Ath Bilbao,1,3,A,15,15,3,6,2,9,valladolid,,1900.0,38279.0,Liga_Desconocida,126.0,4,-2,Derrota_Local,2
